
The station contributions are:
    Name     Contribution  %Contribution   Accumulated cont.    Magnitude
231) D078_GPS    16.666        0.051              88.433              0.631
232) 960546_G    16.572        0.051              88.484              0.423
233) 950190_G    16.511        0.051              88.535              3.074
234) 950421_G    16.509        0.051              88.586              0.297
235) 970819_G    16.305        0.050              88.637              2.677
236) 93097_GP    16.242        0.050              88.687              0.161
237) 93093_GP    16.206        0.050              88.737              0.244
238) 93082_GP    16.172        0.050              88.787              0.364
239) C060_GPS    16.012        0.049              88.836              1.825
240) 93090_GP    15.860        0.049              88.885              0.921
241) 950483_G    15.794        0.049              88.934              0.213
242) 93089_GP    15.614        0.048              88.982              2.177
243) B062_GPS    15.578        0.048              89.030              0.678
244) 940037_G    15.486        0.048              89.078              0.730
245) 93081_GP    15.437        0.048              89.126              0.675
246) 960620_G    15.282        0.047              89.173              0.473
247) 950468_G    15.227        0.047              89.220              0.609
248) 950193_G    15.170        0.047              89.267              0.854
249) 950203_G    15.160        0.047              89.313              0.429
250) 970786_G    15.155        0.047              89.360              1.085
251) PAUZ_GKA    15.014        0.046              89.407              4.443
252) 960558_G    14.992        0.046              89.453              0.393
253) 950316_G    14.875        0.046              89.499              0.172
254) 950166_G    14.870        0.046              89.545              0.348
255) 93009_GP    14.842        0.046              89.590              0.086
256) 940038_G    14.772        0.046              89.636              0.405
257) 960753_G    14.761        0.046              89.682              0.496
258) 950109_G    14.681        0.045              89.727              1.012
259) 970809_G    14.636        0.045              89.772              0.812
260) 93021_GP    14.635        0.045              89.817              0.581
261) 950169_G    14.626        0.045              89.862              0.121
262) 950208_G    14.564        0.045              89.907              0.574
263) 93053_GP    14.440        0.045              89.952              2.630
264) 940004_G    14.434        0.045              89.997              1.224
265) 93095_GP    14.417        0.045              90.041              0.382
266) 950377_G    14.328        0.044              90.085              0.188
267) B074_GPS    14.287        0.044              90.129              2.060
268) 93075_GP    14.281        0.044              90.174              1.797
269) 950469_G    14.257        0.044              90.218              1.312
270) 940010_G    14.166        0.044              90.261              1.420
271) 960730_G    14.129        0.044              90.305              5.205
272) 960732_G    14.125        0.044              90.348              2.100
273) 93096_GP    14.016        0.043              90.392              0.223
274) 960548_G    13.954        0.043              90.435              0.728
275) 950305_G    13.868        0.043              90.478              0.177
276) 960714_G    13.810        0.043              90.520              2.765
277) 93064_GP    13.737        0.042              90.563              0.727
278) 960612_G    13.704        0.042              90.605              0.291
279) 960733_G    13.700        0.042              90.647              6.361
280) 940019_G    13.612        0.042              90.689              0.241
281) 950179_G    13.570        0.042              90.731              0.680
282) 970811_G    13.507        0.042              90.773              0.778
283) 950481_G    13.499        0.042              90.815              0.989
284) 950216_G    13.475        0.042              90.856              0.400
285) 93005_GP    13.403        0.041              90.898              0.285
286) 950268_G    13.323        0.041              90.939              3.554
287) 970813_G    13.320        0.041              90.980              0.704
288) 950419_G    13.302        0.041              91.021              0.627
289) 940033_G    13.278        0.041              91.062              1.007
290) 960775_G    13.263        0.041              91.103              4.005
291) 950494_G    13.081        0.040              91.143              7.728
292) 960606_G    13.060        0.040              91.184              0.353
293) 970820_G    13.034        0.040              91.224              0.569
294) 960562_G    12.956        0.040              91.264              0.732
295) 950177_G    12.949        0.040              91.304              0.825
296) 960731_G    12.740        0.039              91.343              0.504
297) 93052_GP    12.535        0.039              91.382              0.465
298) 950376_G    12.445        0.038              91.420              0.040
299) B058_GPS    12.352        0.038              91.458              1.809
300) 93088_GP    12.325        0.038              91.496              0.871
301) 940063_G    12.324        0.038              91.534              0.445
302) 950215_G    12.303        0.038              91.572              0.319
303) HB08_GUA    12.301        0.038              91.610              3.186
304) 950300_G    12.287        0.038              91.648              0.594
305) 93074_GP    12.271        0.038              91.686              0.770
306) 93077_GP    12.112        0.037              91.724              0.272
307) 960674_G    12.096        0.037              91.761              0.721
308) 940065_G    12.082        0.037              91.798              0.089
