name,lon1,lat1,lon2,lat2,dip,res,other3,other6,rake,rakeSig,rakeTog,other7,other8,other9,locking_depth,locking_depth_sig,locking_depth_flag,dip_sig,dip_flag,ss_rate,ss_rate_sig,ss_rate_flag,ds_rate,ds_rate_sig,ds_rate_flag,ts_rate,ts_rate_sig,ts_rate_flag,burial_depth,burial_depth_sig,burial_depth_flag,resolution_override,resolution_other,patch_file_name,patch_flag,patch_slip_file,patch_slip_flag,
"eastern-mtlbbbbbaab         ",137.2,35.203,137.377,35.317,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,-1,0,0,0,
"eastern-mtlbbbbbab          ",137.377,35.317,137.563,35.415,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,-1,0,0,0,
"eastern-mtlbbbbbbaa         ",137.563,35.415,137.684,35.449,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,-1,0,0,0,
"eastern-mtlbbbbbbab         ",137.684,35.449,137.861,35.558,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,-1,0,0,0,
"eastern-mtlbbbbbbbaa        ",137.861,35.558,137.94,35.646,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,-1,0,0,0,
"eastern-mtlbbbbbbbab        ",137.94,35.646,138.037,35.76,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,-1,0,0,0,
"eastern-mtlbbbbbbbb         ",138.037,35.76,138.078,36.015,90,100,0,0,0,0,0,0,0,0,15,5,0,1,0,0,1,0,0,1,0,0,1,0,15,5,0,0,0,-1,0,0,0,
"eu_phil_1aaa                ",133.802,31.789,134.238,32.039,165,100,0,0,0,0,0,0,0,0,25,5,0,5,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"eu_phil_1aaba               ",134.238,32.039,134.568,32.202,165,100,0,0,0,0,0,0,0,0,25,5,0,5,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"eu_phil_1aabbaa             ",134.568,32.202,134.823,32.289,165,100,0,0,0,0,0,0,0,0,25,5,0,5,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"eu_phil_1aabbab             ",134.823,32.289,134.943,32.385,165,100,0,0,0,0,0,0,0,0,25,5,0,5,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"eu_phil_1aabbb              ",134.943,32.385,135.007,32.527,165,100,0,0,0,0,0,0,0,0,25,5,0,5,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
"eu_phil_1abaaa              ",135.007,32.527,135.157,32.594,165,100,0,0,0,0,0,0,0,0,30,5,0,5,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,1,0,0,
