
The station contributions are:
    Name     Contribution  %Contribution   Accumulated cont.    Magnitude
295) YAM2_GPS    627.464        0.059              83.826              0.995
296) JUR3_GPS    627.449        0.059              83.885              2.205
297) HAMI_GPS    626.573        0.059              83.945              8.056
298) CHIL_GPS    626.222        0.059              84.004              1.130
299) T124_GPS    622.809        0.059              84.063              2.823
300) HP15_GPS    621.408        0.059              84.122              12.500
301) DHLG_GPS    621.014        0.059              84.181              12.518
302) PMCN_GPS    618.456        0.059              84.239              7.167
303) G114_GPS    615.054        0.058              84.298              6.412
304) TOME_GLA    614.227        0.058              84.356              6.274
305) P217_PBO    610.231        0.058              84.414              15.474
306) WD91_GLA    610.080        0.058              84.471              6.311
307) WRHS_GPS    609.053        0.058              84.529              0.829
308) ROSA_GLA    607.313        0.058              84.587              1.104
309) HP19_GPS    606.732        0.057              84.644              10.060
310) LAST_GLA    604.028        0.057              84.701              2.397
311) RCUT_GPS    602.793        0.057              84.758              6.763
312) G109_GPS    602.384        0.057              84.816              4.706
313) OTAY_GPS    600.886        0.057              84.872              1.140
314) COR__GPS    599.158        0.057              84.929              13.910
315) WHAY_GPS    594.123        0.056              84.986              8.455
316) PF6__GLA    592.498        0.056              85.042              9.304
317) P528_PBO    592.413        0.056              85.098              0.956
318) METC_GPS    588.140        0.056              85.153              15.068
319) A586_GPS    586.449        0.056              85.209              2.033
320) BLCO_GPS    575.114        0.054              85.264              7.980
321) BORD_GPS    569.623        0.054              85.317              3.085
322) LOMP_GPS    567.790        0.054              85.371              5.340
323) P162_PBO    565.097        0.054              85.425              14.300
324) P212_PBO    562.240        0.053              85.478              2.812
325) R293_GPS    560.520        0.053              85.531              3.302
326) METZ_GLA    558.346        0.053              85.584              2.836
327) DELO_GPS    557.573        0.053              85.637              1.803
328) P315_PBO    556.848        0.053              85.690              12.593
329) FIFT_GPS    545.024        0.052              85.741              1.347
330) OXYC_GPS    542.098        0.051              85.793              2.793
331) P591_PBO    539.293        0.051              85.844              4.242
332) P169_PBO    538.216        0.051              85.895              8.379
333) P229_PBO    537.519        0.051              85.946              7.431
334) 7HLI_GPS    536.666        0.051              85.996              1.728
335) SANO_GPS    535.859        0.051              86.047              2.589
336) TRAN_GPS    535.673        0.051              86.098              13.756
337) COYS_GPS    535.448        0.051              86.149              13.294
338) P485_PBO    533.835        0.051              86.199              3.374
339) SJOA_GPS    533.631        0.051              86.250              1.865
340) RDHL_GPS    532.590        0.050              86.300              13.117
341) TOIY_PBO    532.168        0.050              86.351              3.436
342) E122_GPS    529.911        0.050              86.401              7.557
343) BOLI_GPS    526.498        0.050              86.451              3.068
344) CMBB_GPS    523.499        0.050              86.500              5.500
345) 0102_GPS    521.417        0.049              86.550              2.698
346) ROBO_GPS    520.360        0.049              86.599              11.175
347) RSRT_GPS    516.011        0.049              86.648              9.579
348) NAVY_GPS    515.152        0.049              86.697              13.696
349) LAKE_GPS    514.969        0.049              86.746              1.238
350) M586_GPS    513.991        0.049              86.794              4.443
351) PATW_GPS    513.777        0.049              86.843              2.438
352) GREN_GPS    512.105        0.049              86.891              9.775
353) SNTZ_GPS    511.202        0.048              86.940              4.409
354) ADOO_GPS    509.779        0.048              86.988              12.848
355) INDO_GLA    508.260        0.048              87.036              9.214
356) SGHS_GPS    507.271        0.048              87.084              3.532
357) MUSB_GPS    505.056        0.048              87.132              5.645
358) P538_PBO    504.992        0.048              87.180              6.860
359) REUB_GPS    503.263        0.048              87.228              1.895
360) VARN_GPS    500.914        0.047              87.275              15.265
361) RDEC_GPS    500.800        0.047              87.323              2.132
362) P234_PBO    498.080        0.047              87.370              10.315
363) LIMP_GPS    492.767        0.047              87.417              1.695
364) PF5C_GPS    490.673        0.046              87.463              8.568
365) G120_GPS    483.183        0.046              87.509              5.686
366) NBCG_GPS    482.524        0.046              87.554              8.751
367) GLRS_PBO    482.196        0.046              87.600              7.667
368) P583_PBO    481.640        0.046              87.646              4.417
369) P586_PBO    477.841        0.045              87.691              6.052
370) P059_PBO    476.711        0.045              87.736              11.303
371) UCBK_GPS    476.130        0.045              87.781              14.031
372) D138_GPS    473.985        0.045              87.826              9.364
373) P508_PBO    467.143        0.044              87.870              7.200
374) CGDM_PBO    464.588        0.044              87.914              1.321
375) P563_PBO    464.218        0.044              87.958              3.843
376) SNP2_GPS    459.723        0.044              88.002              2.636
377) TID3_GPS    458.057        0.043              88.045              8.219
378) 2780_GPS    458.030        0.043              88.089              8.222
379) P525_PBO    457.103        0.043              88.132              1.755
380) P588_PBO    456.344        0.043              88.175              4.250
381) QUIN_GPS    456.138        0.043              88.219              5.387
382) PSEB_GPS    452.411        0.043              88.261              1.408
383) BNDY_GPS    451.926        0.043              88.304              7.669
384) BARN_GPS    448.100        0.042              88.347              17.866
385) CHO1_GPS    446.690        0.042              88.389              5.571
386) SHIN_GPS    443.867        0.042              88.431              4.008
387) GAPP_GLA    442.325        0.042              88.473              11.251
388) ROC2_GPS    440.075        0.042              88.515              7.601
389) P271_PBO    436.389        0.041              88.556              5.005
390) P544_PBO    430.584        0.041              88.597              4.687
391) G125_GPS    424.706        0.040              88.637              5.946
392) BRI2_GLA    420.199        0.040              88.677              5.844
393) P536_PBO    418.669        0.040              88.716              3.617
394) CAHU_GPS    418.090        0.040              88.756              9.734
395) RTHS_GPS    417.168        0.040              88.796              2.266
396) PRNC_GPS    416.665        0.039              88.835              13.893
397) SISK_GPS    415.504        0.039              88.874              6.654
398) P199_PBO    414.895        0.039              88.914              9.874
399) MAGU_GPS    413.776        0.039              88.953              5.332
400) COCH_GLA    410.132        0.039              88.992              11.635
401) P303_PBO    410.126        0.039              89.031              4.086
402) G128_GPS    408.205        0.039              89.069              8.209
403) FEIF_GPS    407.338        0.039              89.108              2.892
404) MOLR_GPS    406.551        0.039              89.146              2.170
405) P067_PBO    406.373        0.038              89.185              0.591
406) SCOT_GPS    405.456        0.038              89.223              1.600
407) 0303_GPS    402.610        0.038              89.261              0.647
408) SOBR_GPS    401.076        0.038              89.299              2.652
409) CUYA_GPS    401.007        0.038              89.337              2.070
410) PAIN_GPS    399.798        0.038              89.375              14.269
411) CAJO_GLA    396.395        0.038              89.413              3.960
412) SD17_GPS    395.211        0.037              89.450              1.380
413) MADI_GPS    395.096        0.037              89.488              7.148
414) CRFP_GPS    394.367        0.037              89.525              3.470
415) P200_PBO    390.533        0.037              89.562              9.455
416) MORT_GPS    389.404        0.037              89.599              2.731
417) VERN_GPS    387.830        0.037              89.636              2.205
418) KNEE_GPS    381.184        0.036              89.672              7.369
419) P259_PBO    377.701        0.036              89.708              5.313
420) UPSA_GPS    375.965        0.036              89.743              3.979
421) P606_PBO    375.122        0.036              89.779              5.111
422) P158_PBO    374.662        0.035              89.814              13.343
423) PTHP_GPS    373.648        0.035              89.850              6.777
424) BAL2_GPS    373.567        0.035              89.885              8.892
425) SOBE_GPS    372.885        0.035              89.920              7.784
426) P566_PBO    372.515        0.035              89.956              5.666
427) HAGG_GPS    371.226        0.035              89.991              7.391
428) GAMB_GPS    369.648        0.035              90.026              4.455
429) BLUE_GPS    367.714        0.035              90.061              4.438
430) STEE_GPS    363.974        0.034              90.095              3.173
431) C616_GPS    359.390        0.034              90.129              6.051
432) CNTR_GPS    358.536        0.034              90.163              7.983
433) GAME_GPS    357.612        0.034              90.197              4.647
434) SOR4_GPS    354.570        0.034              90.231              1.317
435) RKBU_GPS    353.147        0.033              90.264              2.359
436) P432_PBO    352.363        0.033              90.298              2.730
437) GARS_GPS    351.506        0.033              90.331              9.422
438) COND_GPS    351.289        0.033              90.364              8.011
439) P231_PBO    350.459        0.033              90.397              2.425
440) BAPK_GPS    350.279        0.033              90.430              9.094
441) TORO_GPS    349.675        0.033              90.464              3.212
442) P415_PBO    349.152        0.033              90.497              6.621
443) PRSD_GPS    348.481        0.033              90.530              12.702
444) FTHL_GPS    346.482        0.033              90.563              9.775
445) MOCH_GPS    345.004        0.033              90.595              4.743
446) P612_PBO    344.557        0.033              90.628              3.422
447) P261_PBO    337.327        0.032              90.660              5.914
448) QHTP_GPS    336.310        0.032              90.692              2.578
449) P244_PBO    333.932        0.032              90.723              4.549
450) CAM4_GPS    333.843        0.032              90.755              2.853
451) 0705_GLA    332.969        0.032              90.786              2.060
452) YOUB_GPS    331.098        0.031              90.818              4.609
453) Z137_GPS    330.305        0.031              90.849              14.440
454) LVMS_GPS    329.338        0.031              90.880              1.474
455) RADA_GPS    329.246        0.031              90.912              8.572
